[00:06:13.130 --> 00:06:13.610]   impossible
[00:06:29.860 --> 00:06:30.190]   naming
[00:06:30.190 --> 00:06:30.380]  .
[00:06:30.380 --> 00:06:30.430]   I
[00:06:30.430 --> 00:06:30.910]   apologize
[00:06:30.910 --> 00:06:31.080]  .
[00:06:31.080 --> 00:06:31.200]   It
[00:06:31.200 --> 00:06:31.310]  's
[00:06:31.310 --> 00:06:31.570]   very
[00:06:31.570 --> 00:06:32.020]   strange
[00:06:32.020 --> 00:06:32.240]  .
[00:06:32.240 --> 00:06:32.660]   Lex
[00:06:32.660 --> 00:06:33.080]  .
[00:06:33.080 --> 00:06:33.130]   I
[00:06:33.130 --> 00:06:33.260]  'm
[00:06:33.260 --> 00:06:33.460]   just
[00:06:33.460 --> 00:06:33.800]   asking
[00:06:33.800 --> 00:06:33.970]   for
[00:06:33.970 --> 00:06:34.020]   a
[00:06:34.020 --> 00:06:34.360]   friend
[00:06:34.360 --> 00:06:34.560]  .
[00:06:34.560 --> 00:06:34.850]   Clar
[00:06:34.850 --> 00:06:34.860]  ify
[00:06:34.860 --> 00:06:35.000]  .
[00:06:35.000 --> 00:06:35.050]   I
[00:06:35.050 --> 00:06:35.150]  'm
[00:06:35.150 --> 00:06:35.200]   a
[00:06:35.200 --> 00:06:35.360]   big
[00:06:35.360 --> 00:06:35.620]   fan
[00:06:35.620 --> 00:06:35.670]   of
[00:06:35.670 --> 00:06:35.680]   G
[00:06:35.680 --> 00:06:35.770]  ag
[00:06:35.770 --> 00:06:36.040]  arin
[00:06:36.040 --> 00:06:36.080]  's
[00:06:36.080 --> 00:06:36.190]  ,
[00:06:36.190 --> 00:06:36.590]   though
[00:06:36.590 --> 00:06:36.740]  .
[00:06:36.740 --> 00:06:37.500]   In
[00:06:37.500 --> 00:06:37.570]   fact
[00:06:37.570 --> 00:06:37.880]  ,
[00:06:37.880 --> 00:06:37.890]   I
[00:06:37.890 --> 00:06:38.520]   think
[00:06:38.520 --> 00:06:39.100]   his
[00:06:39.100 --> 00:06:39.540]   first
[00:06:39.540 --> 00:06:40.180]   words
[00:06:40.180 --> 00:06:40.430]   in
[00:06:40.430 --> 00:06:41.060]   space
[00:06:41.060 --> 00:06:41.320]  ,
[00:06:41.320 --> 00:06:41.460]   I
[00:06:41.460 --> 00:06:42.030]   think
[00:06:42.030 --> 00:06:42.480]  ,
[00:06:42.480 --> 00:06:42.720]   are
[00:06:42.720 --> 00:06:44.000]   incredible
[00:06:44.000 --> 00:06:44.480]  .
[00:06:44.480 --> 00:06:44.740]   You
[00:06:44.740 --> 00:06:45.180]   know
[00:06:45.180 --> 00:06:45.210]  ,
[00:06:45.210 --> 00:06:45.370]   he
[00:06:45.370 --> 00:06:45.610]   pur
[00:06:45.610 --> 00:06:45.940]  port
[00:06:45.940 --> 00:06:46.270]  edly
[00:06:46.270 --> 00:06:46.590]   said
[00:06:46.590 --> 00:06:46.760]  ,
[00:06:46.760 --> 00:06:46.940]   my
[00:06:46.940 --> 00:06:47.200]   God
[00:06:47.200 --> 00:06:47.320]  ,
[00:06:47.320 --> 00:06:47.480]   it
[00:06:47.480 --> 00:06:47.630]  's
[00:06:47.630 --> 00:06:47.980]   blue
[00:06:47.980 --> 00:06:48.300]  .
[00:06:48.900 --> 00:06:48.930]
[00:06:48.930 --> 00:06:49.150]   And
[00:06:49.150 --> 00:06:49.460]   that
[00:06:49.460 --> 00:06:49.940]   really
[00:06:49.940 --> 00:06:50.430]   drives
[00:06:50.430 --> 00:06:50.750]   home
[00:06:50.750 --> 00:06:51.020]  .
[00:06:51.020 --> 00:06:51.160]   No
[00:06:51.160 --> 00:06:51.380]   one
[00:06:51.380 --> 00:06:51.600]   had
[00:06:51.600 --> 00:06:51.890]   seen
[00:06:51.890 --> 00:06:52.110]   the
[00:06:52.110 --> 00:06:52.470]   Earth
[00:06:52.470 --> 00:06:52.760]   from
[00:06:52.760 --> 00:06:53.120]   space
[00:06:53.120 --> 00:06:53.380]  .
[00:06:53.380 --> 00:06:53.760]   No
[00:06:53.760 --> 00:06:53.840]   one
[00:06:53.840 --> 00:06:54.070]   knew
[00:06:54.070 --> 00:06:54.380]   that
[00:06:54.380 --> 00:06:54.530]   we
[00:06:54.530 --> 00:06:54.840]   were
[00:06:54.840 --> 00:06:54.990]   on
[00:06:54.990 --> 00:06:55.300]   this
[00:06:55.300 --> 00:06:55.680]   blue
[00:06:55.680 --> 00:06:56.070]   planet
[00:06:56.070 --> 00:06:56.360]  .
[00:06:56.360 --> 00:06:56.510]   No
[00:06:56.510 --> 00:06:56.680]   one
[00:06:56.680 --> 00:06:57.060]   knew
[00:06:57.060 --> 00:06:57.200]   what
[00:06:57.200 --> 00:06:57.330]   it
[00:06:57.330 --> 00:06:57.710]   looked
[00:06:57.710 --> 00:06:58.040]   like
[00:06:58.040 --> 00:06:58.240]   from
[00:06:58.240 --> 00:06:58.430]   out
[00:06:58.430 --> 00:06:58.770]   there
[00:06:58.770 --> 00:06:59.000]  .
[00:06:59.000 --> 00:06:59.230]   And
[00:06:59.230 --> 00:06:59.300]   G
[00:06:59.300 --> 00:06:59.550]  ag
[00:06:59.550 --> 00:06:59.760]  arin
[00:06:59.760 --> 00:06:59.990]   was
[00:06:59.990 --> 00:07:00.220]   the
[00:07:00.220 --> 00:07:00.600]   first
[00:07:00.600 --> 00:07:01.060]   person
[00:07:01.060 --> 00:07:01.210]   to
[00:07:01.210 --> 00:07:01.440]   see
[00:07:01.440 --> 00:07:01.590]   it
[00:07:01.590 --> 00:07:01.880]  .
[00:07:01.880 --> 00:07:01.960]   One
[00:07:01.960 --> 00:07:02.490]   of
[00:07:02.490 --> 00:07:02.530]   the
[00:07:02.530 --> 00:07:02.950]   things
[00:07:02.950 --> 00:07:03.080]   I
[00:07:03.080 --> 00:07:03.400]   think
[00:07:03.400 --> 00:07:03.780]   about
[00:07:03.780 --> 00:07:03.930]   is
[00:07:03.930 --> 00:07:04.160]   how
[00:07:04.160 --> 00:07:04.840]   dangerous
[00:07:04.840 --> 00:07:05.290]   those
[00:07:05.290 --> 00:07:05.610]   early
[00:07:05.610 --> 00:07:05.910]   days
[00:07:05.910 --> 00:07:06.200]   were
[00:07:06.200 --> 00:07:06.450]   for
[00:07:06.450 --> 00:07:06.510]   G
[00:07:06.510 --> 00:07:06.660]  ag
[00:07:06.660 --> 00:07:07.020]  arin
[00:07:07.020 --> 00:07:07.140]  ,
[00:07:07.140 --> 00:07:07.340]   for
[00:07:07.340 --> 00:07:07.720]   Glenn
[00:07:07.720 --> 00:07:07.890]  ,
[00:07:07.890 --> 00:07:08.480]   for
[00:07:08.480 --> 00:07:08.790]   everybody
[00:07:08.790 --> 00:07:09.400]   involved
[00:07:09.400 --> 00:07:09.780]  .
[00:07:09.780 --> 00:07:10.160]   Like
[00:07:10.160 --> 00:07:10.160]   how
[00:07:10.160 --> 00:07:10.320]   big
[00:07:10.320 --> 00:07:10.430]   of
[00:07:10.430 --> 00:07:10.480]   a
[00:07:10.480 --> 00:07:10.700]   risk
[00:07:10.700 --> 00:07:10.920]   they
[00:07:10.920 --> 00:07:11.140]   were
[00:07:11.140 --> 00:07:11.300]   all
[00:07:11.300 --> 00:07:11.630]   taking
[00:07:11.630 --> 00:07:11.860]  .
[00:07:11.860 --> 00:07:12.110]   They
[00:07:12.110 --> 00:07:12.360]   were
[00:07:12.360 --> 00:07:12.850]   taking
[00:07:12.850 --> 00:07:12.980]   huge
[00:07:12.980 --> 00:07:13.290]   risks
[00:07:13.290 --> 00:07:13.500]  .
[00:07:13.500 --> 00:07:13.570]   I
[00:07:13.570 --> 00:07:13.870]  'm
[00:07:13.870 --> 00:07:13.920]   not
[00:07:13.920 --> 00:07:14.210]   sure
[00:07:14.210 --> 00:07:14.540]   what
[00:07:14.540 --> 00:07:14.710]   the
[00:07:14.710 --> 00:07:15.230]   Soviets
[00:07:15.230 --> 00:07:15.730]   thought
[00:07:15.730 --> 00:07:16.100]   about
[00:07:16.100 --> 00:07:16.160]   G
[00:07:16.160 --> 00:07:16.430]  ag
[00:07:16.430 --> 00:07:16.600]  arin
[00:07:16.600 --> 00:07:16.750]  's
[00:07:16.750 --> 00:07:17.160]   flight
[00:07:17.160 --> 00:07:17.440]  .
[00:07:17.440 --> 00:07:17.610]   But
[00:07:17.610 --> 00:07:17.940]   I
[00:07:17.940 --> 00:07:18.040]   think
[00:07:18.040 --> 00:07:18.170]   that
[00:07:18.170 --> 00:07:18.340]   the
[00:07:18.340 --> 00:07:18.880]  ...
[00:07:18.880 --> 00:07:18.890]
[00:07:18.890 --> 00:07:19.400]   Americans
[00:07:19.400 --> 00:07:19.800]   thought
[00:07:19.800 --> 00:07:20.030]   that
[00:07:20.030 --> 00:07:20.200]   the
[00:07:20.200 --> 00:07:20.450]   Alan
[00:07:20.450 --> 00:07:20.540]   Sh
[00:07:20.540 --> 00:07:20.650]  ep
[00:07:20.650 --> 00:07:20.820]  ard
[00:07:20.820 --> 00:07:21.170]   flight
[00:07:21.170 --> 00:07:21.430]  ,
[00:07:21.430 --> 00:07:21.630]   the
[00:07:21.630 --> 00:07:21.920]   flight
[00:07:21.920 --> 00:07:22.240]   that
[00:07:22.240 --> 00:07:22.370]   New
[00:07:22.370 --> 00:07:22.500]   Sh
[00:07:22.500 --> 00:07:22.630]  ep
[00:07:22.630 --> 00:07:22.820]  ard
[00:07:22.820 --> 00:07:22.950]   is
[00:07:22.950 --> 00:07:23.270]   named
[00:07:23.270 --> 00:07:23.590]   after
[00:07:23.590 --> 00:07:23.780]  ,
[00:07:23.780 --> 00:07:23.940]   the
[00:07:23.940 --> 00:07:24.210]   first
[00:07:24.210 --> 00:07:24.650]   American
[00:07:24.650 --> 00:07:24.760]   in
[00:07:24.760 --> 00:07:25.030]   space
[00:07:25.030 --> 00:07:25.160]  ,
[00:07:25.160 --> 00:07:25.280]   he
[00:07:25.280 --> 00:07:25.400]  'd
[00:07:25.400 --> 00:07:25.650]   been
[00:07:25.650 --> 00:07:25.770]   on
[00:07:25.770 --> 00:07:25.950]   his
[00:07:25.950 --> 00:07:26.130]   sub
[00:07:26.130 --> 00:07:26.310]  orb
[00:07:26.310 --> 00:07:26.590]  ital
[00:07:26.590 --> 00:07:26.920]   flight
[00:07:26.920 --> 00:07:27.160]  .
[00:07:27.160 --> 00:07:27.840]   They
[00:07:27.840 --> 00:07:28.190]   thought
[00:07:28.190 --> 00:07:28.370]   he
[00:07:28.370 --> 00:07:28.650]   had
[00:07:28.650 --> 00:07:29.120]   about
[00:07:29.120 --> 00:07:29.210]   a
[00:07:29.210 --> 00:07:29.770]   75
[00:07:29.770 --> 00:07:29.920]  %
[00:07:29.920 --> 00:07:30.420]   chance
[00:07:30.420 --> 00:07:30.600]   of
[00:07:30.600 --> 00:07:31.260]   success
[00:07:31.260 --> 00:07:31.600]  .
[00:07:31.600 --> 00:07:31.870]   So
[00:07:31.870 --> 00:07:32.020]  ,
[00:07:32.020 --> 00:07:32.430]   you
[00:07:32.430 --> 00:07:32.790]   know
[00:07:32.790 --> 00:07:32.970]  ,
[00:07:32.970 --> 00:07:33.390]   that
[00:07:33.390 --> 00:07:33.700]  's
[00:07:33.700 --> 00:07:33.960]   a
[00:07:33.960 --> 00:07:34.340]   pretty
[00:07:34.340 --> 00:07:34.660]   big
[00:07:34.660 --> 00:07:35.080]   risk
[00:07:35.080 --> 00:07:35.340]  ,
[00:07:35.340 --> 00:07:35.390]   a
[00:07:35.390 --> 00:07:36.030]   25
[00:07:36.030 --> 00:07:36.130]  %
[00:07:36.130 --> 00:07:36.570]   risk
[00:07:36.570 --> 00:07:36.960]  .
[00:07:36.960 --> 00:07:37.070]   It
[00:07:37.070 --> 00:07:37.400]  's
[00:07:37.400 --> 00:07:37.500]   kind
[00:07:37.500 --> 00:07:37.510]   of
[00:07:37.510 --> 00:07:38.140]   interesting
[00:07:38.140 --> 00:07:38.360]   that
[00:07:38.360 --> 00:07:38.580]   Alan
[00:07:38.580 --> 00:07:38.690]   Sh
[00:07:38.690 --> 00:07:38.880]  ep
[00:07:38.880 --> 00:07:39.020]  ard
[00:07:39.020 --> 00:07:39.080]   is
[00:07:39.080 --> 00:07:39.250]   not
[00:07:39.250 --> 00:07:39.530]   quite
[00:07:39.530 --> 00:07:39.700]   as
[00:07:39.700 --> 00:07:40.050]   famous
[00:07:40.050 --> 00:07:40.090]   as
[00:07:40.090 --> 00:07:40.310]   John
[00:07:40.310 --> 00:07:40.590]   Glenn
[00:07:40.590 --> 00:07:40.860]  .
[00:07:40.860 --> 00:07:41.160]   So
[00:07:41.160 --> 00:07:41.390]  ,
[00:07:41.390 --> 00:07:41.460]   for
[00:07:41.460 --> 00:07:41.860]   people
[00:07:41.860 --> 00:07:42.090]   who
[00:07:42.090 --> 00:07:42.320]   don
[00:07:42.320 --> 00:07:42.470]  't
[00:07:42.470 --> 00:07:42.790]   know
[00:07:42.790 --> 00:07:42.930]  ,
[00:07:42.930 --> 00:07:43.270]   Alan
[00:07:43.270 --> 00:07:43.470]   Sh
[00:07:43.470 --> 00:07:43.540]  ep
[00:07:43.540 --> 00:07:43.750]  ard
[00:07:43.750 --> 00:07:43.950]   is
[00:07:43.950 --> 00:07:44.140]   the
[00:07:44.140 --> 00:07:44.710]   first
[00:07:44.710 --> 00:07:45.250]   astronaut
[00:07:45.250 --> 00:07:45.600]  .
[00:07:45.600 --> 00:07:46.150]   The
[00:07:46.150 --> 00:07:46.260]   first
[00:07:46.260 --> 00:07:46.950]   American
[00:07:46.950 --> 00:07:47.060]   in
[00:07:47.060 --> 00:07:47.470]   space
[00:07:47.470 --> 00:07:47.740]  .
[00:07:47.740 --> 00:07:48.060]   American
[00:07:48.060 --> 00:07:48.140]   in
[00:07:48.140 --> 00:07:48.520]  ...
[00:07:48.520 --> 00:07:48.520]
[00:07:48.520 --> 00:07:48.910]   American
[00:07:48.910 --> 00:07:48.940]   in
[00:07:48.940 --> 00:07:49.060]   sub
[00:07:49.060 --> 00:07:49.180]  orb
[00:07:49.180 --> 00:07:49.350]  ital
[00:07:49.350 --> 00:07:49.600]   flight
[00:07:49.600 --> 00:07:49.760]  .
[00:07:49.760 --> 00:07:50.020]   Correct
[00:07:50.020 --> 00:07:50.140]  .
[00:07:50.140 --> 00:07:50.320]   And
[00:07:50.320 --> 00:07:50.560]   then
[00:07:50.560 --> 00:07:50.740]   the
[00:07:50.740 --> 00:07:51.050]   first
[00:07:51.050 --> 00:07:51.520]   orbital
[00:07:51.520 --> 00:07:51.850]   flight
[00:07:51.850 --> 00:07:52.010]   is
[00:07:52.010 --> 00:07:52.560]  ...
[00:07:52.560 --> 00:07:52.820]   That
[00:07:52.820 --> 00:07:53.080]   John
[00:07:53.080 --> 00:07:53.480]   Glenn
[00:07:53.480 --> 00:07:53.540]   is
[00:07:53.540 --> 00:07:53.730]   the
[00:07:53.730 --> 00:07:54.380]   first
[00:07:54.380 --> 00:07:54.590]   American
[00:07:54.590 --> 00:07:54.730]   to
[00:07:54.730 --> 00:07:55.120]   orbit
[00:07:55.120 --> 00:07:55.240]   the
[00:07:55.240 --> 00:07:55.570]   Earth
[00:07:55.570 --> 00:07:55.820]  .
[00:07:55.820 --> 00:07:56.250]   By
[00:07:56.250 --> 00:07:56.260]   the
[00:07:56.260 --> 00:07:56.510]   way
[00:07:56.510 --> 00:07:56.680]  ,
[00:07:56.680 --> 00:07:56.780]   I
[00:07:56.780 --> 00:07:57.100]   have
[00:07:57.100 --> 00:07:57.610]   the
[00:07:57.610 --> 00:07:57.720]   most
[00:07:57.720 --> 00:07:58.590]   charming
[00:07:58.590 --> 00:07:58.640]  ,
[00:07:58.640 --> 00:07:59.030]   sweet
[00:07:59.030 --> 00:07:59.200]  ,
[00:07:59.200 --> 00:08:00.080]   incredible
[00:08:00.080 --> 00:08:00.740]   letter
[00:08:00.740 --> 00:08:01.220]   from
[00:08:01.220 --> 00:08:01.310]   John
[00:08:01.310 --> 00:08:01.750]   Glenn
[00:08:01.750 --> 00:08:02.020]  ,
[00:08:02.020 --> 00:08:02.410]   which
[00:08:02.410 --> 00:08:02.490]   I
[00:08:02.490 --> 00:08:02.810]   have
[00:08:02.810 --> 00:08:03.280]   framed
[00:08:03.280 --> 00:08:03.520]   and
[00:08:03.520 --> 00:08:03.840]   hang
[00:08:03.840 --> 00:08:04.000]   on
[00:08:04.000 --> 00:08:04.150]   my
[00:08:04.150 --> 00:08:04.660]   office
[00:08:04.660 --> 00:08:04.950]   wall
[00:08:04.950 --> 00:08:05.220]  .
[00:08:05.220 --> 00:08:05.460]   What
[00:08:05.460 --> 00:08:05.520]   does
[00:08:05.520 --> 00:08:05.590]   he
[00:08:05.590 --> 00:08:05.700]   say
[00:08:05.700 --> 00:08:05.840]  ?
[00:08:05.840 --> 00:08:06.300]   Where
[00:08:06.300 --> 00:08:06.480]   he
[00:08:06.480 --> 00:08:06.940]   tells
[00:08:06.940 --> 00:08:07.120]   me
[00:08:07.120 --> 00:08:07.390]   how
[00:08:07.390 --> 00:08:08.120]   grateful
[00:08:08.120 --> 00:08:08.400]   he
[00:08:08.400 --> 00:08:08.480]   is
[00:08:08.480 --> 00:08:08.840]   that
[00:08:08.840 --> 00:08:09.010]   we
[00:08:09.010 --> 00:08:09.380]   have
[00:08:09.380 --> 00:08:09.840]   named
[00:08:09.840 --> 00:08:10.110]   New
[00:08:10.110 --> 00:08:10.570]   Glenn
[00:08:10.570 --> 00:08:11.030]   after
[00:08:11.030 --> 00:08:11.290]   him
[00:08:11.290 --> 00:08:11.640]  .
[00:08:11.640 --> 00:08:11.840]   And
[00:08:11.840 --> 00:08:12.130]   he
[00:08:12.130 --> 00:08:12.180]   sent
[00:08:12.180 --> 00:08:12.350]   me
[00:08:12.350 --> 00:08:12.540]   that
[00:08:12.540 --> 00:08:12.900]   letter
[00:08:12.900 --> 00:08:13.200]   about
[00:08:13.200 --> 00:08:13.260]   a
[00:08:13.260 --> 00:08:13.500]   week
[00:08:13.500 --> 00:08:13.860]   before
[00:08:13.860 --> 00:08:13.980]   he
[00:08:13.980 --> 00:08:14.220]   died
[00:08:14.220 --> 00:08:14.420]  .
[00:08:14.420 --> 00:08:14.640]   And
[00:08:14.640 --> 00:08:14.900]   it
[00:08:14.900 --> 00:08:15.120]  's
[00:08:15.120 --> 00:08:15.650]   really
[00:08:15.650 --> 00:08:16.620]   incredible
[00:08:16.620 --> 00:08:16.920]  .
[00:08:16.920 --> 00:08:17.070]   It
[00:08:17.070 --> 00:08:17.320]  's
[00:08:17.320 --> 00:08:17.530]   also
[00:08:17.530 --> 00:08:17.840]   very
[00:08:17.840 --> 00:08:18.310]   funny
[00:08:18.310 --> 00:08:18.500]  .
[00:08:18.500 --> 00:08:18.500]
[00:08:18.500 --> 00:08:18.530]   It
[00:08:18.530 --> 00:08:18.560]  's
[00:08:18.560 --> 00:08:18.570]   a
[00:08:18.570 --> 00:08:18.650]   funny
[00:08:18.650 --> 00:08:18.750]   letter
[00:08:18.750 --> 00:08:18.820]  .
[00:08:18.820 --> 00:08:18.990]   He
[00:08:18.990 --> 00:08:19.180]  's
[00:08:19.180 --> 00:08:19.740]   writing
[00:08:19.740 --> 00:08:19.990]   and
[00:08:19.990 --> 00:08:20.160]   he
[00:08:20.160 --> 00:08:20.620]   says
[00:08:20.620 --> 00:08:20.660]  ,
[00:08:20.660 --> 00:08:20.910]   you
[00:08:20.910 --> 00:08:21.250]   know
[00:08:21.250 --> 00:08:21.520]  ,
[00:08:21.520 --> 00:08:21.820]   this
[00:08:21.820 --> 00:08:21.920]   is
[00:08:21.920 --> 00:08:22.000]   a
[00:08:22.000 --> 00:08:22.500]   letter
[00:08:22.500 --> 00:08:22.920]   about
[00:08:22.920 --> 00:08:23.440]   New
[00:08:23.440 --> 00:08:23.590]   Glenn
[00:08:23.590 --> 00:08:23.950]   from
[00:08:23.950 --> 00:08:24.210]   the
[00:08:24.210 --> 00:08:24.940]   original
[00:08:24.940 --> 00:08:25.210]   Glenn
[00:08:25.210 --> 00:08:25.380]  .
[00:08:25.380 --> 00:08:25.580]   And
[00:08:25.580 --> 00:08:25.710]   he
[00:08:25.710 --> 00:08:25.840]  's
[00:08:25.840 --> 00:08:26.040]   got
[00:08:26.040 --> 00:08:26.130]   a
[00:08:26.130 --> 00:08:26.440]   great
[00:08:26.440 --> 00:08:26.780]   sense
[00:08:26.780 --> 00:08:26.910]   of
[00:08:26.910 --> 00:08:27.250]   humor
[00:08:27.250 --> 00:08:27.500]  .
[00:08:27.500 --> 00:08:27.740]   And
[00:08:27.740 --> 00:08:27.900]   he
[00:08:27.900 --> 00:08:28.060]  's
[00:08:28.060 --> 00:08:28.380]   very
[00:08:28.380 --> 00:08:28.780]   happy
[00:08:28.780 --> 00:08:29.180]   about
[00:08:29.180 --> 00:08:29.340]   it
[00:08:29.340 --> 00:08:29.620]   and
[00:08:29.620 --> 00:08:30.220]   grateful
[00:08:30.220 --> 00:08:30.520]  .
[00:08:30.520 --> 00:08:30.620]   It
[00:08:30.620 --> 00:08:30.720]  's
[00:08:30.720 --> 00:08:30.920]   very
[00:08:30.920 --> 00:08:31.160]   sweet
[00:08:31.160 --> 00:08:31.340]  .
[00:08:31.340 --> 00:08:31.520]   Does
[00:08:31.520 --> 00:08:31.750]   he
[00:08:31.750 --> 00:08:31.760]   say
[00:08:31.760 --> 00:08:31.850]  ,
[00:08:31.850 --> 00:08:31.890]   P
[00:08:31.890 --> 00:08:32.030]  .
[00:08:32.030 --> 00:08:32.070]  S
[00:08:32.070 --> 00:08:32.310]  .,
[00:08:32.310 --> 00:08:32.520]   don
[00:08:32.520 --> 00:08:32.540]  't
[00:08:32.540 --> 00:08:32.730]   mess
[00:08:32.730 --> 00:08:32.920]   this
[00:08:32.920 --> 00:08:33.020]   up
[00:08:33.020 --> 00:08:33.260]  ?
[00:08:33.260 --> 00:08:33.440]   Or
[00:08:33.440 --> 00:08:33.620]   is
[00:08:33.620 --> 00:08:33.990]   that
[00:08:33.990 --> 00:08:34.840]  ...
[00:08:34.840 --> 00:08:35.040]   No
[00:08:35.040 --> 00:08:35.240]  ,
[00:08:35.240 --> 00:08:35.440]   he
[00:08:35.440 --> 00:08:35.940]   doesn
[00:08:35.940 --> 00:08:36.140]  't
[00:08:36.140 --> 00:08:36.460]  .
[00:08:36.460 --> 00:08:36.620]   Make
[00:08:36.620 --> 00:08:36.700]   me
[00:08:36.700 --> 00:08:36.860]   look
[00:08:36.860 --> 00:08:37.020]   good
[00:08:37.020 --> 00:08:37.180]  .
[00:08:37.180 --> 00:08:37.270]   He
[00:08:37.270 --> 00:08:37.510]   doesn
[00:08:37.510 --> 00:08:37.690]  't
[00:08:37.690 --> 00:08:37.710]   do
[00:08:37.710 --> 00:08:37.880]   that
[00:08:37.880 --> 00:08:38.060]  .
[00:08:38.060 --> 00:08:38.240]   But
[00:08:38.240 --> 00:08:38.500]   John
[00:08:38.500 --> 00:08:38.590]  ,
[00:08:38.590 --> 00:08:39.200]   wherever
[00:08:39.200 --> 00:08:39.240]   you
[00:08:39.240 --> 00:08:39.420]   are
[00:08:39.420 --> 00:08:39.530]  ,
[00:08:39.530 --> 00:08:39.690]   we
[00:08:39.690 --> 00:08:39.830]   got
[00:08:39.830 --> 00:08:40.010]   you
[00:08:40.010 --> 00:08:40.450]   covered
[00:08:40.450 --> 00:08:40.640]  .
[00:08:40.640 --> 00:08:41.200]   Good
[00:08:41.200 --> 00:08:41.360]  .
[00:08:41.360 --> 00:08:41.570]   So
[00:08:41.570 --> 00:08:42.060]  ,
[00:08:42.060 --> 00:08:42.150]   back
[00:08:42.150 --> 00:08:42.350]   to
[00:08:42.350 --> 00:08:42.900]   maybe
[00:08:42.900 --> 00:08:43.150]   the
[00:08:43.150 --> 00:08:43.430]   big
[00:08:43.430 --> 00:08:44.190]   picture
[00:08:44.190 --> 00:08:44.420]   of
[00:08:44.420 --> 00:08:44.860]   space
[00:08:44.860 --> 00:08:45.160]  .
[00:08:45.160 --> 00:08:45.560]   When
[00:08:45.560 --> 00:08:45.860]   you
[00:08:45.860 --> 00:08:45.910]   look
[00:08:45.910 --> 00:08:46.050]   up
[00:08:46.050 --> 00:08:46.240]   at
[00:08:46.240 --> 00:08:46.460]   the
[00:08:46.460 --> 00:08:46.740]   stars
[00:08:46.740 --> 00:08:46.980]  .
[00:08:47.940 --> 00:08:48.010]
